Sub-network,Date,Model Parameters,Latency (ms),MACs,Top-1 Acc (%)
"{'wid': None, 'ks': [5, 7, 5, 5, 3, 3, 3, 7, 5, 5, 3, 7, 7, 3, 3, 3, 5, 5, 5, 5], 'e': [4, 3, 4, 4, 4, 6, 3, 4, 4, 3, 4, 3, 3, 6, 6, 6, 4, 3, 4, 4], 'd': [2, 3, 2, 4, 3], 'r': [224]}",2022-11-01 05:39:22.800806,5029656,0,255502624,75.462
"{'wid': None, 'ks': [5, 5, 5, 5, 3, 7, 7, 7, 7, 5, 7, 3, 3, 3, 5, 5, 5, 7, 5, 5], 'e': [4, 3, 6, 3, 6, 6, 3, 3, 6, 4, 4, 6, 3, 4, 3, 6, 4, 4, 3, 4], 'd': [3, 3, 3, 4, 3], 'r': [224]}",2022-11-01 05:40:50.479543,4761632,0,297261792,76.044
"{'wid': None, 'ks': [3, 5, 7, 5, 7, 5, 5, 5, 3, 3, 3, 5, 5, 5, 7, 3, 5, 7, 3, 3], 'e': [4, 3, 6, 6, 4, 6, 6, 3, 6, 4, 6, 6, 4, 3, 3, 4, 6, 6, 3, 4], 'd': [3, 2, 2, 3, 4], 'r': [224]}",2022-11-01 05:42:23.691415,5215592,0,261675008,75.66
"{'wid': None, 'ks': [5, 5, 5, 5, 7, 7, 5, 5, 5, 5, 3, 5, 5, 3, 5, 7, 3, 3, 5, 7], 'e': [3, 4, 6, 3, 4, 4, 4, 4, 4, 3, 6, 4, 3, 3, 4, 4, 3, 4, 3, 4], 'd': [2, 3, 3, 4, 2], 'r': [224]}",2022-11-01 05:43:53.472656,4148784,0,228096016,74.89
"{'wid': None, 'ks': [5, 3, 7, 7, 5, 5, 7, 5, 5, 3, 3, 7, 7, 5, 5, 5, 5, 7, 7, 7], 'e': [4, 3, 3, 6, 4, 3, 3, 4, 3, 3, 4, 4, 4, 3, 4, 3, 4, 4, 4, 6], 'd': [3, 3, 2, 3, 3], 'r': [224]}",2022-11-01 05:45:30.903014,4415648,0,217395872,74.906
"{'wid': None, 'ks': [3, 7, 5, 7, 5, 7, 5, 5, 5, 3, 5, 5, 3, 5, 3, 7, 7, 7, 5, 3], 'e': [6, 4, 6, 6, 6, 4, 4, 6, 4, 3, 4, 6, 4, 4, 3, 4, 6, 3, 4, 6], 'd': [3, 3, 3, 3, 3], 'r': [224]}",2022-11-01 05:47:14.379623,4549752,0,278975616,75.718
"{'wid': None, 'ks': [7, 7, 7, 7, 5, 5, 7, 5, 5, 7, 7, 5, 5, 3, 5, 3, 5, 5, 5, 5], 'e': [3, 3, 6, 4, 3, 4, 6, 3, 4, 3, 3, 4, 4, 4, 4, 6, 4, 4, 6, 4], 'd': [3, 2, 2, 4, 4], 'r': [224]}",2022-11-01 05:48:57.358713,5631256,0,287050816,75.884
"{'wid': None, 'ks': [5, 5, 3, 3, 5, 5, 5, 5, 5, 7, 5, 5, 5, 5, 3, 5, 7, 3, 3, 3], 'e': [3, 6, 4, 4, 3, 4, 4, 3, 4, 4, 4, 4, 3, 4, 4, 4, 6, 4, 3, 3], 'd': [3, 2, 3, 4, 3], 'r': [224]}",2022-11-01 05:50:46.965517,4741368,0,257867072,75.918
"{'wid': None, 'ks': [5, 5, 5, 5, 7, 5, 7, 7, 3, 3, 3, 3, 3, 5, 3, 5, 7, 3, 7, 5], 'e': [3, 4, 4, 6, 4, 6, 4, 3, 6, 6, 6, 4, 4, 6, 4, 6, 6, 4, 6, 6], 'd': [2, 4, 3, 4, 3], 'r': [224]}",2022-11-01 05:52:27.885278,5810336,0,314487072,76.55
"{'wid': None, 'ks': [7, 5, 3, 7, 3, 5, 7, 7, 5, 5, 5, 5, 5, 5, 7, 7, 7, 3, 5, 3], 'e': [4, 4, 6, 4, 3, 3, 6, 4, 3, 3, 4, 3, 6, 4, 3, 3, 6, 4, 4, 6], 'd': [4, 4, 4, 3, 2], 'r': [224]}",2022-11-01 05:54:09.962308,4449368,0,311615936,75.678
