Sub-network,Date,Model Parameters,Latency (ms),MACs,Top-1 Acc (%)
"{'wid': None, 'ks': [5, 7, 5, 5, 3, 3, 3, 7, 5, 5, 3, 7, 7, 3, 3, 3, 5, 5, 5, 5], 'e': [4, 3, 4, 4, 4, 6, 3, 4, 4, 3, 4, 3, 3, 6, 6, 6, 4, 3, 4, 4], 'd': [2, 3, 2, 4, 3], 'r': [224]}",2022-11-01 05:39:29.374648,5029656,0,255502624,75.458
"{'wid': None, 'ks': [5, 5, 5, 5, 3, 7, 7, 7, 7, 5, 7, 3, 3, 3, 5, 5, 5, 7, 5, 5], 'e': [4, 3, 6, 3, 6, 6, 3, 3, 6, 4, 4, 6, 3, 4, 3, 6, 4, 4, 3, 4], 'd': [3, 3, 3, 4, 3], 'r': [224]}",2022-11-01 05:40:38.113769,4761632,0,297261792,76.03
"{'wid': None, 'ks': [3, 5, 7, 5, 7, 5, 5, 5, 3, 3, 3, 5, 5, 5, 7, 3, 5, 7, 3, 3], 'e': [4, 3, 6, 6, 4, 6, 6, 3, 6, 4, 6, 6, 4, 3, 3, 4, 6, 6, 3, 4], 'd': [3, 2, 2, 3, 4], 'r': [224]}",2022-11-01 05:42:09.403312,5215592,0,261675008,75.74
"{'wid': None, 'ks': [5, 5, 5, 5, 7, 7, 5, 5, 5, 5, 3, 5, 5, 3, 5, 7, 3, 3, 5, 7], 'e': [3, 4, 6, 3, 4, 4, 4, 4, 4, 3, 6, 4, 3, 3, 4, 4, 3, 4, 3, 4], 'd': [2, 3, 3, 4, 2], 'r': [224]}",2022-11-01 05:43:36.664177,4148784,0,228096016,74.906
"{'wid': None, 'ks': [5, 3, 7, 7, 5, 5, 7, 5, 5, 3, 3, 7, 7, 5, 5, 5, 5, 7, 7, 7], 'e': [4, 3, 3, 6, 4, 3, 3, 4, 3, 3, 4, 4, 4, 3, 4, 3, 4, 4, 4, 6], 'd': [3, 3, 2, 3, 3], 'r': [224]}",2022-11-01 05:45:12.767319,4415648,0,217395872,74.968
"{'wid': None, 'ks': [3, 7, 5, 7, 5, 7, 5, 5, 5, 3, 5, 5, 3, 5, 3, 7, 7, 7, 5, 3], 'e': [6, 4, 6, 6, 6, 4, 4, 6, 4, 3, 4, 6, 4, 4, 3, 4, 6, 3, 4, 6], 'd': [3, 3, 3, 3, 3], 'r': [224]}",2022-11-01 05:46:24.927970,4549752,0,278975616,75.732
"{'wid': None, 'ks': [7, 7, 7, 7, 5, 5, 7, 5, 5, 7, 7, 5, 5, 3, 5, 3, 5, 5, 5, 5], 'e': [3, 3, 6, 4, 3, 4, 6, 3, 4, 3, 3, 4, 4, 4, 4, 6, 4, 4, 6, 4], 'd': [3, 2, 2, 4, 4], 'r': [224]}",2022-11-01 05:47:34.369055,5631256,0,287050816,75.854
"{'wid': None, 'ks': [5, 5, 3, 3, 5, 5, 5, 5, 5, 7, 5, 5, 5, 5, 3, 5, 7, 3, 3, 3], 'e': [3, 6, 4, 4, 3, 4, 4, 3, 4, 4, 4, 4, 3, 4, 4, 4, 6, 4, 3, 3], 'd': [3, 2, 3, 4, 3], 'r': [224]}",2022-11-01 05:48:33.812374,4741368,0,257867072,75.9
"{'wid': None, 'ks': [5, 5, 5, 5, 7, 5, 7, 7, 3, 3, 3, 3, 3, 5, 3, 5, 7, 3, 7, 5], 'e': [3, 4, 4, 6, 4, 6, 4, 3, 6, 6, 6, 4, 4, 6, 4, 6, 6, 4, 6, 6], 'd': [2, 4, 3, 4, 3], 'r': [224]}",2022-11-01 05:50:04.509140,5810336,0,314487072,76.556
"{'wid': None, 'ks': [7, 5, 3, 7, 3, 5, 7, 7, 5, 5, 5, 5, 5, 5, 7, 7, 7, 3, 5, 3], 'e': [4, 4, 6, 4, 3, 3, 6, 4, 3, 3, 4, 3, 6, 4, 3, 3, 6, 4, 4, 6], 'd': [4, 4, 4, 3, 2], 'r': [224]}",2022-11-01 05:51:33.505360,4449368,0,311615936,75.634
