Sub-network,Date,Model Parameters,Latency (ms),MACs,Top-1 Acc (%)
"{'wid': None, 'ks': [7, 3, 3, 7, 5, 3, 3, 3, 7, 3, 7, 7, 7, 3, 7, 5, 3, 3, 3, 3], 'e': [3, 6, 6, 3, 6, 3, 6, 6, 6, 6, 4, 3, 4, 6, 4, 3, 3, 6, 4, 4], 'd': [3, 2, 2, 3, 2], 'r': [224]}",2022-11-01 05:40:08.389353,4536768,0,244945104,74.69
"{'wid': None, 'ks': [3, 5, 3, 5, 5, 7, 5, 3, 7, 5, 7, 3, 5, 3, 7, 5, 7, 7, 5, 7], 'e': [3, 6, 3, 3, 6, 3, 4, 3, 3, 3, 4, 4, 4, 6, 4, 3, 4, 4, 3, 6], 'd': [3, 4, 4, 4, 2], 'r': [224]}",2022-11-01 05:41:40.356918,4543496,0,283418016,75.76
"{'wid': None, 'ks': [7, 7, 3, 7, 7, 3, 3, 5, 5, 5, 7, 7, 7, 3, 7, 5, 3, 3, 3, 5], 'e': [4, 4, 3, 3, 6, 6, 4, 3, 6, 4, 4, 6, 4, 3, 4, 3, 3, 6, 6, 6], 'd': [3, 4, 4, 3, 4], 'r': [224]}",2022-11-01 05:43:26.983755,6096592,0,319041296,76.29
"{'wid': None, 'ks': [5, 5, 3, 3, 7, 5, 3, 3, 3, 3, 7, 3, 7, 5, 7, 3, 5, 5, 7, 5], 'e': [6, 4, 6, 3, 6, 6, 3, 6, 6, 4, 6, 4, 3, 4, 4, 3, 4, 3, 6, 6], 'd': [3, 4, 2, 4, 2], 'r': [224]}",2022-11-01 05:45:04.480597,4124080,0,285396704,75.126
"{'wid': None, 'ks': [7, 5, 7, 7, 7, 3, 3, 5, 3, 7, 7, 3, 7, 5, 5, 3, 3, 5, 5, 3], 'e': [3, 3, 6, 3, 3, 6, 4, 3, 6, 3, 3, 6, 4, 6, 3, 4, 6, 6, 4, 3], 'd': [4, 4, 4, 2, 4], 'r': [224]}",2022-11-01 05:47:01.992460,5478704,0,323142016,76.152
"{'wid': None, 'ks': [5, 5, 7, 7, 5, 5, 7, 5, 3, 3, 3, 3, 5, 3, 7, 7, 3, 7, 3, 3], 'e': [3, 6, 6, 3, 3, 3, 3, 4, 3, 6, 3, 4, 6, 4, 3, 6, 3, 6, 6, 6], 'd': [3, 2, 3, 3, 2], 'r': [224]}",2022-11-01 05:48:34.848608,4425968,0,250098160,74.658
"{'wid': None, 'ks': [3, 3, 7, 5, 5, 5, 5, 5, 7, 3, 7, 7, 7, 3, 3, 5, 7, 5, 3, 3], 'e': [3, 3, 6, 4, 3, 4, 3, 4, 4, 3, 3, 4, 6, 3, 3, 6, 6, 3, 3, 3], 'd': [2, 3, 3, 3, 2], 'r': [224]}",2022-11-01 05:49:35.491069,4097368,0,190633728,74.526
"{'wid': None, 'ks': [5, 3, 3, 5, 3, 5, 5, 5, 5, 5, 7, 7, 7, 7, 7, 5, 3, 3, 5, 3], 'e': [3, 6, 6, 6, 3, 6, 4, 3, 3, 6, 4, 6, 6, 3, 3, 6, 3, 3, 3, 6], 'd': [2, 4, 2, 3, 2], 'r': [224]}",2022-11-01 05:50:48.296517,3876248,0,214840208,74.176
"{'wid': None, 'ks': [7, 3, 7, 7, 3, 7, 3, 5, 7, 7, 7, 7, 5, 5, 3, 7, 7, 5, 3, 5], 'e': [4, 3, 6, 6, 4, 4, 4, 3, 3, 4, 6, 6, 3, 3, 6, 3, 6, 4, 3, 4], 'd': [2, 2, 3, 3, 2], 'r': [224]}",2022-11-01 05:52:01.783609,4404720,0,218013184,74.794
"{'wid': None, 'ks': [5, 7, 7, 5, 7, 7, 7, 3, 7, 7, 5, 7, 3, 3, 5, 3, 3, 7, 7, 3], 'e': [4, 4, 6, 3, 6, 4, 3, 6, 6, 4, 6, 4, 4, 3, 3, 6, 4, 4, 3, 3], 'd': [3, 2, 4, 3, 2], 'r': [224]}",2022-11-01 05:53:50.042815,4102424,0,280405760,74.972
