Sub-network,Date,Model Parameters,Latency (ms),MACs,Top-1 Acc (%)
"{'wid': None, 'ks': [7, 3, 3, 7, 5, 3, 3, 3, 7, 3, 7, 7, 7, 3, 7, 5, 3, 3, 3, 3], 'e': [3, 6, 6, 3, 6, 3, 6, 6, 6, 6, 4, 3, 4, 6, 4, 3, 3, 6, 4, 4], 'd': [3, 2, 2, 3, 2], 'r': [224]}",2022-11-01 05:39:38.995993,4536768,0,244945104,74.65
"{'wid': None, 'ks': [3, 5, 3, 5, 5, 7, 5, 3, 7, 5, 7, 3, 5, 3, 7, 5, 7, 7, 5, 7], 'e': [3, 6, 3, 3, 6, 3, 4, 3, 3, 3, 4, 4, 4, 6, 4, 3, 4, 4, 3, 6], 'd': [3, 4, 4, 4, 2], 'r': [224]}",2022-11-01 05:41:01.175492,4543496,0,283418016,75.706
"{'wid': None, 'ks': [7, 7, 3, 7, 7, 3, 3, 5, 5, 5, 7, 7, 7, 3, 7, 5, 3, 3, 3, 5], 'e': [4, 4, 3, 3, 6, 6, 4, 3, 6, 4, 4, 6, 4, 3, 4, 3, 3, 6, 6, 6], 'd': [3, 4, 4, 3, 4], 'r': [224]}",2022-11-01 05:42:33.764027,6096592,0,319041296,76.21
"{'wid': None, 'ks': [5, 5, 3, 3, 7, 5, 3, 3, 3, 3, 7, 3, 7, 5, 7, 3, 5, 5, 7, 5], 'e': [6, 4, 6, 3, 6, 6, 3, 6, 6, 4, 6, 4, 3, 4, 4, 3, 4, 3, 6, 6], 'd': [3, 4, 2, 4, 2], 'r': [224]}",2022-11-01 05:44:16.171861,4124080,0,285396704,75.148
"{'wid': None, 'ks': [7, 5, 7, 7, 7, 3, 3, 5, 3, 7, 7, 3, 7, 5, 5, 3, 3, 5, 5, 3], 'e': [3, 3, 6, 3, 3, 6, 4, 3, 6, 3, 3, 6, 4, 6, 3, 4, 6, 6, 4, 3], 'd': [4, 4, 4, 2, 4], 'r': [224]}",2022-11-01 05:45:54.460321,5478704,0,323142016,76.088
"{'wid': None, 'ks': [5, 5, 7, 7, 5, 5, 7, 5, 3, 3, 3, 3, 5, 3, 7, 7, 3, 7, 3, 3], 'e': [3, 6, 6, 3, 3, 3, 3, 4, 3, 6, 3, 4, 6, 4, 3, 6, 3, 6, 6, 6], 'd': [3, 2, 3, 3, 2], 'r': [224]}",2022-11-01 05:47:31.075199,4425968,0,250098160,74.576
"{'wid': None, 'ks': [3, 3, 7, 5, 5, 5, 5, 5, 7, 3, 7, 7, 7, 3, 3, 5, 7, 5, 3, 3], 'e': [3, 3, 6, 4, 3, 4, 3, 4, 4, 3, 3, 4, 6, 3, 3, 6, 6, 3, 3, 3], 'd': [2, 3, 3, 3, 2], 'r': [224]}",2022-11-01 05:48:56.498377,4097368,0,190633728,74.518
"{'wid': None, 'ks': [5, 3, 3, 5, 3, 5, 5, 5, 5, 5, 7, 7, 7, 7, 7, 5, 3, 3, 5, 3], 'e': [3, 6, 6, 6, 3, 6, 4, 3, 3, 6, 4, 6, 6, 3, 3, 6, 3, 3, 3, 6], 'd': [2, 4, 2, 3, 2], 'r': [224]}",2022-11-01 05:50:40.392624,3876248,0,214840208,74.106
"{'wid': None, 'ks': [7, 3, 7, 7, 3, 7, 3, 5, 7, 7, 7, 7, 5, 5, 3, 7, 7, 5, 3, 5], 'e': [4, 3, 6, 6, 4, 4, 4, 3, 3, 4, 6, 6, 3, 3, 6, 3, 6, 4, 3, 4], 'd': [2, 2, 3, 3, 2], 'r': [224]}",2022-11-01 05:52:12.813766,4404720,0,218013184,74.75
"{'wid': None, 'ks': [5, 7, 7, 5, 7, 7, 7, 3, 7, 7, 5, 7, 3, 3, 5, 3, 3, 7, 7, 3], 'e': [4, 4, 6, 3, 6, 4, 3, 6, 6, 4, 6, 4, 4, 3, 3, 6, 4, 4, 3, 3], 'd': [3, 2, 4, 3, 2], 'r': [224]}",2022-11-01 05:53:29.287811,4102424,0,280405760,74.936
